id,county,restaurants,population,percentage
1,Cleburne,16,25603,42.10
2,Prentiss,16,1014,41.30
3,Jasper,4,16529,40.80
4,Holmes,4,18509,39.70
5,Coal,1,5709,39.50
6,Ashley,15,20958,39.20
7,"St Francis",10,239,38.90
8,Lawrence,6,16970,38.80
9,Lafayette,3,7163,38.80
10,Mississippi,32,44232,38.80
11,Haskell,4,1976,38.70
12,Randolph,8,17561,38.60
13,Poinsett,17,24144,38.50
14,Lawrence,6,12601,38.40
15,Sevier,97,94570,38.30
16,Claiborne,5,9164,38.20
17,Cocke,16,35201,38.10
18,Bell,24,27841,38.00
19,Yazoo,10,27811,38.00
20,Quitman,4,2235,38.00
